T5C5K2MOD;2015;15;4224;20001876;71018711;2015-06-12;NULL;2015-08-03;2015-08-05;2015-09-25;2015-09-29;35
T5C5K2MOD;2015;18;4106;20001875;71018709;2015-07-01;NULL;2015-08-24;2015-08-31;2015-09-30;2015-09-30;38
T5C5K2MOD;2015;19;4276;20001872;71018703;2015-07-14;NULL;NULL;2015-09-25;NULL;NULL;39
T5C5K2MOD;2015;22;4123;20001871;71018701;2015-08-24;NULL;NULL;2015-10-02;NULL;NULL;42
T5C5K2MOD;2015;16;4247;20001867;71018693;2015-06-12;NULL;2015-08-10;2015-08-17;2015-09-25;2015-09-29;36
T5C5K2MOD;2015;17;4100;20001873;71018705;2015-07-01;NULL;2015-08-14;2015-08-25;2015-09-30;2015-09-30;37
VOLVO;2015;1;NCZ5481178;20001913;18749-50;2015-04-17;NULL;2015-04-17;2015-09-15;2015-09-15;2015-09-17;116
VOLVO;2015;4;NCZ5401160;20001912;18746-47;2015-04-17;NULL;2015-04-21;2015-09-15;2015-09-15;2015-09-17;119
VOLVO;2015;6;NCZ5541190;20001918;18756-57;2015-05-20;NULL;2015-05-20;2015-09-15;2015-09-15;2015-09-17;121
VOLVO;2015;11;NCZ5521188;20001923;18794-95;2015-06-18;NULL;2015-06-19;2015-09-17;2015-09-18;2015-09-22;126
VOLVO;2015;2;NCZ5511187;20001911;18743-44;2015-04-17;NULL;2015-04-17;2015-09-15;2015-09-21;2015-09-22;117
VOLVO;2015;25;NCZ5641227;20001936;18855-56;2015-08-14;NULL;2015-08-18;2015-09-26;2015-09-28;2015-09-30;140
VOLVO;2015;27;NCZ5711396;20001942;18933-34;2015-09-02;NULL;2015-09-02;2015-09-30;2015-09-30;2015-09-30;142
VOLVO;2015;7;NCZ5421164;20001920;18789-90;2015-06-01;NULL;2015-06-02;2015-09-16;2015-09-21;2015-09-22;122
VOLVO;2015;24;NCZ5661390;20001937;18852-53;2015-08-14;NULL;2015-08-17;2015-09-26;2015-09-28;2015-09-30;139
VOLVO;2015;26;NCZ5751403;20001971;18939-40;2015-09-02;NULL;2015-09-02;2015-09-26;2015-09-29;2015-09-30;141
VOLVO;2015;23;NCZ5461175;20001941;18849-50;2015-08-13;NULL;2015-08-13;2015-09-25;2015-09-28;2015-09-30;138
VOLVO;2015;29;NCZ5601222;20001972;18942-43;2015-09-09;NULL;2015-09-14;2015-09-29;2015-09-30;2015-10-01;144
VOLVO;2015;28;NCZ5591214;20001944;18936-37;2015-09-03;NULL;2015-09-03;2015-09-30;2015-10-02;2015-10-06;143
VOLVO;2015;2000;NCZ5451174;20001924;18797-98;NULL;NULL;NULL;NULL;NULL;NULL;145
VOLVO;2015;2001;NCZ5561203;20001925;18800-01;NULL;NULL;NULL;NULL;NULL;NULL;146
VOLVO;2015;2002;NCZ5551191;20001926;18803-04;NULL;NULL;NULL;NULL;NULL;NULL;147
VOLVO;2015;2003;NCZ5651241;20001928;18809-10;NULL;NULL;NULL;NULL;NULL;NULL;148
VOLVO;2015;2004;NCZ5501180;20001938;18832-33;NULL;NULL;NULL;NULL;NULL;NULL;149
VOLVO;2015;9;NCZ5671391;20001916;18762-63;2015-05-20;NULL;2015-05-20;2015-09-17;2015-09-18;2015-09-22;124
VOLVO;2015;3;NCZ5491179;20001914;18752-53;2015-04-17;NULL;2015-04-20;2015-09-16;2015-09-16;2015-09-17;118
VOLVO;2015;5;NCZ5531189;20001915;18759-60;2015-05-20;NULL;2015-05-20;2015-09-15;2015-09-16;2015-09-17;120
VOLVO;2015;8;NCZ5681392;20001917;18765-66;2015-05-20;NULL;2015-05-21;2015-09-16;2015-09-16;2015-09-17;123
VOLVO;2015;10;NCZ5471177;20001921;18786-87;2015-06-03;NULL;2015-06-04;2015-09-17;2015-09-18;2015-09-22;125
VOLVO;2015;12;NCZ5391158;20001929;18812-13;2015-06-24;NULL;2015-06-25;2015-09-18;2015-09-21;2015-09-25;127
VOLVO;2015;13;NCZ5441173;20001930;18815-16;2015-06-24;NULL;2015-06-29;2015-09-18;2015-09-21;2015-09-25;128
VOLVO;2015;14;NCZ5571205;20001927;18806-07;2015-06-29;NULL;2015-06-30;2015-09-18;2015-09-21;2015-09-25;129
VOLVO;2015;15;NCZ5611223;20001932;18821-22;2015-06-24;NULL;2015-06-30;2015-09-21;2015-09-21;2015-09-25;130
VOLVO;2015;16;NCZ5731398;20001931;18818-19;2015-06-24;NULL;2015-06-29;2015-09-21;2015-09-21;2015-09-25;131
VOLVO;2015;18;NCZ5761405;20001940;18838-39;2015-07-17;NULL;2015-07-17;2015-09-22;2015-09-22;2015-09-25;133
VOLVO;2015;17;NCZ5701395;20001934;18829-30;2015-07-10;NULL;2015-07-10;2015-09-22;2015-09-24;2015-09-29;132
VOLVO;2015;19;NCZ5431165;20001939;18835-36;2015-07-20;NULL;2015-07-20;2015-09-22;2015-09-24;2015-09-29;134
VOLVO;2015;21;NCZ5691394;20001943;18841-42;2015-08-06;NULL;2015-08-07;2015-09-24;2015-09-24;2015-09-29;136
VOLVO;2015;20;NCZ5581213;20001933;18826-27;2015-07-21;NULL;2015-07-21;2015-09-24;2015-09-25;2015-09-29;135
VOLVO;2015;22;NCZ5621225;20001935;18846-47;2015-08-12;NULL;2015-08-12;2015-09-24;2015-09-25;2015-09-29;137
